Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-10-29,9-30-20,0.69,0.73,64698
2020-07-30,6-30-20,0.51,0.65,59685
2020-04-30,3-31-20,0.52,0.64,58313
2020-01-28,12-31-19,1.14,1.25,91819
2019-10-30,9-30-19,0.71,0.76,64040
2019-07-30,6-30-19,0.53,0.55,53809
2019-04-30,3-31-19,0.59,0.62,58015
2019-01-29,12-31-18,1.04,1.05,84310
2018-11-01,9-30-18,0.7,0.73,62900
2018-07-31,6-30-18,0.54,0.59,53265
2018-05-01,3-31-18,0.67,0.68,61137
2018-02-01,12-31-17,0.96,0.97,88293
2017-11-02,9-30-17,0.47,0.52,52579
2017-08-01,6-30-17,0.39,0.42,45408
2017-05-02,3-31-17,0.51,0.53,52896
2017-01-31,12-31-16,0.81,0.84,78351
2016-10-25,9-30-16,0.42,0.42,46852
2016-07-26,6-30-16,0.35,0.36,42358
2016-04-26,3-31-16,0.49,0.48,50557
2016-01-26,12-31-15,0.81,0.82,75872
