Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-10-27,2020-09-30,0.31,0.35,2801
2020-07-28,2020-06-30,0.12,0.13,1932
2020-04-28,2020-03-31,0.14,0.14,1786
2020-01-28,2019-12-31,0.26,0.27,2127
2019-10-29,2019-09-30,0.14,0.14,1801
2019-07-30,2019-06-30,0.05,0.04,1531
2019-04-30,2019-03-31,0.02,0.03,1272
2019-01-29,2018-12-31,0.06,0.05,1419
2018-10-24,2018-09-30,0.11,0.1,1653
2018-07-25,2018-06-30,0.1,0.12,1756
2018-04-25,2018-03-31,0.06,0.08,1647
2018-01-30,2017-12-31,0.02,0.06,1340
2017-10-24,2017-09-30,0.06,0.08,1584
2017-07-25,2017-06-30,-0.02,-0.01,1151
2017-05-01,2017-03-31,-0.07,-0.07,1178
2017-01-31,2016-12-31,-0.04,-0.04,1153
2016-10-20,2016-09-30,-0.02,0,1307
2016-07-21,2016-06-30,-0.11,-0.07,1027
2016-04-21,2016-03-31,-0.15,-0.14,832
2016-01-19,2015-12-31,-0.12,-0.12,958
