Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-10-29,2020-09-30,0.37,0.62,96145
2020-07-30,2020-06-30,0.09,0.52,88912
2020-04-30,2020-03-31,0.32,0.25,75452
2020-01-30,2019-12-31,0.2,0.32,87437
2019-10-24,2019-09-30,0.22,0.21,69981
2019-07-25,2019-06-30,0.26,0.26,63404
2019-04-25,2019-03-31,0.23,0.35,59700
2019-01-31,2018-12-31,0.28,0.3,72383
2018-10-25,2018-09-30,0.16,0.29,56576
2018-07-26,2018-06-30,0.12,0.25,52886
2018-04-26,2018-03-31,0.06,0.16,51042
2018-02-01,2017-12-31,0.09,0.11,60453
2017-10-26,2017-09-30,0,0.03,43744
2017-07-27,2017-06-30,0.07,0.02,37955
2017-04-27,2017-03-31,0.05,0.07,35714
2017-02-02,2016-12-31,0.07,0.08,43741
2016-10-27,2016-09-30,0.04,0.03,32714
2016-07-28,2016-06-30,0.06,0.09,30404
2016-04-28,2016-03-31,0.03,0.05,29128
2016-01-28,2015-12-31,0.08,0.05,35746
