Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-10-14,2020-09-30,2.58,2.96,4627
2020-07-15,2020-06-30,1.89,1.97,3662
2020-04-15,2020-03-31,1.02,1.03,2692
2020-01-22,2019-12-31,2.96,2.98,4499
2019-10-16,2019-09-30,1.6,1.66,3321
2019-07-17,2019-06-30,1.09,1.27,2886
2019-04-17,2019-03-31,0.54,1.43,2532
2019-01-23,2018-12-31,2.04,2.12,3620
2018-10-17,2018-09-30,1.9,1.86,3228
2018-07-18,2018-06-30,1.43,1.63,3268
2018-04-18,2018-03-31,1.38,1.55,2809
2018-01-17,2017-12-31,1.25,1.77,2973
2017-10-18,2017-09-30,1.28,1.52,2876
2017-07-19,2017-06-30,1.06,1.08,2312
2017-04-19,2017-03-31,0.99,1.12,2071
2017-01-18,2016-12-31,1.06,1.33,2059
2016-10-19,2016-09-30,1.07,1.04,2024
2016-07-20,2016-06-30,0.87,0.93,1965
2016-04-20,2016-03-31,0.46,0.51,1471
2016-01-20,2015-12-31,0.74,0.74,1566
