Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-11-12,2020-10-31,0.63,0.68,11929
2020-08-12,2020-07-31,0.67,0.72,12154
2020-05-13,2020-04-30,0.63,0.72,11983
2020-02-12,2020-01-31,0.68,0.71,12005
2019-11-13,2019-10-31,0.74,0.77,13159
2019-08-14,2019-07-31,0.75,0.76,13428
2019-05-15,2019-04-30,0.69,0.71,12958
2019-02-13,2019-01-31,0.65,0.67,12446
2018-11-14,2018-10-31,0.66,0.68,13072
2018-08-15,2018-07-31,0.63,0.65,12844
2018-05-16,2018-04-30,0.59,0.6,12463
2018-02-14,2018-01-31,0.53,0.58,11887
2017-11-15,2017-10-31,0.55,0.55,12136
2017-08-16,2017-07-31,0.55,0.55,12133
2017-05-17,2017-04-30,0.53,0.54,11940
2017-02-15,2017-01-31,0.5,0.53,11580
2016-11-16,2016-10-31,0.54,0.55,12352
2016-08-17,2016-07-31,0.55,0.58,12638
2016-05-18,2016-04-30,0.5,0.5,12000
2016-02-10,2016-01-31,0.44,0.53,11927
