Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
10/22/20,9/30/20,HK$1.10 ,HK$1.11 ,"HK$18,333 "
7/23/20,6/30/20,HK$1.11 ,HK$1.23 ,"HK$19,728 "
4/23/20,3/31/20,HK$1.28 ,HK$1.45 ,"HK$19,828 "
1/23/20,12/31/19,HK$1.24 ,HK$1.52 ,"HK$20,209 "
10/24/19,9/30/19,HK$1.24 ,HK$1.42 ,"HK$19,190 "
7/25/19,6/30/19,HK$0.89 ,HK$1.06 ,"HK$16,505 "
4/25/19,3/31/19,HK$0.87 ,HK$0.89 ,"HK$16,061 "
1/24/19,12/31/18,HK$1.22 ,HK$1.28 ,"HK$18,657 "
10/25/18,9/30/18,HK$1.15 ,HK$1.40 ,"HK$19,163 "
7/26/18,6/30/18,HK$0.99 ,HK$1.04 ,"HK$16,962 "
4/26/18,3/31/18,HK$0.71 ,HK$0.87 ,"HK$16,066 "
1/25/18,12/31/17,HK$0.86 ,HK$1.08 ,"HK$17,053 "
10/26/17,9/30/17,HK$0.80 ,HK$1.01 ,"HK$16,149 "
7/27/17,6/30/17,HK$0.68 ,HK$0.72 ,"HK$14,763 "
4/27/17,3/31/17,HK$0.65 ,HK$0.66 ,"HK$14,796 "
1/26/17,12/31/16,HK$0.75 ,HK$0.79 ,"HK$16,374 "
10/18/16,9/30/16,HK$0.73 ,HK$0.80 ,"HK$15,778 "
7/20/16,6/30/16,HK$0.53 ,HK$0.59 ,"HK$13,533 "
4/19/16,3/31/16,HK$0.49 ,HK$0.54 ,"HK$13,702 "
1/14/16,12/31/15,HK$0.63 ,HK$0.74 ,"HK$14,914 "
