Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
2020-10-27,2020-09-30,1.53,1.82,37154
2020-07-22,2020-06-30,1.38,1.46,38033
2020-04-29,2020-03-31,1.27,1.4,35021
2020-01-29,2019-12-31,1.32,1.51,36906
2019-10-23,2019-09-30,1.25,1.38,33055
2019-07-18,2019-06-30,1.21,1.37,33717
2019-04-24,2019-03-31,1,1.14,30571
2019-01-30,2018-12-31,1.09,1.1,32471
2018-10-24,2018-09-30,0.96,1.14,29084
2018-07-19,2018-06-30,1.07,1.13,30085
2018-04-26,2018-03-31,0.85,0.95,26819
2018-01-31,2017-12-31,0.86,0.96,28918
2017-10-26,2017-09-30,0.72,0.84,24538
2017-07-20,2017-06-30,0.71,0.98,25605
2017-04-27,2017-03-31,0.69,0.73,23212
2017-01-26,2016-12-31,0.79,0.83,25826
2016-10-20,2016-09-30,0.68,0.76,21928
2016-07-19,2016-06-30,0.58,0.69,26448
2016-04-21,2016-03-31,0.63,0.62,20531
2016-01-28,2015-12-31,0.69,0.78,23796
