Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Reveue
9/29/20,8/31/20,HK$0.95 ,HK$1.00 ,"HK$6,056 "
6/29/20,5/31/20,HK$0.71 ,HK$0.75 ,"HK$5,438 "
3/25/20,2/29/20,HK$0.31 ,HK$0.39 ,"HK$4,797 "
12/18/19,11/30/19,HK$0.43 ,HK$0.42 ,"HK$5,144 "
9/26/19,8/31/19,HK$0.43 ,HK$0.50 ,"HK$4,870 "
6/25/19,5/31/19,HK$0.75 ,HK$1.00 ,"HK$4,788 "
3/20/19,2/28/19,HK$1.67 ,HK$1.67 ,"HK$5,835 "
12/18/18,11/30/18,HK$2.90 ,HK$2.93 ,"HK$7,913 "
9/20/18,8/31/18,HK$3.28 ,HK$3.50 ,"HK$8,440 "
6/20/18,5/31/18,HK$3.10 ,HK$3.12 ,"HK$7,797 "
3/22/18,2/28/18,HK$2.69 ,HK$2.80 ,"HK$7,351 "
12/19/17,11/30/17,HK$2.12 ,HK$2.41 ,"HK$6,803 "
9/26/17,8/31/17,HK$1.73 ,HK$1.99 ,"HK$6,138 "
6/29/17,5/31/17,HK$1.37 ,HK$1.40 ,"HK$5,566 "
3/23/17,2/28/17,HK$0.77 ,HK$0.77 ,"HK$4,648 "
12/21/16,11/30/16,HK$0.24 ,HK$0.28 ,"HK$3,970 "
10/4/16,8/31/16,(HK$0.10),(HK$0.05),"HK$3,217 "
6/30/16,5/31/16,(HK$0.11),(HK$0.08),"HK$2,898 "
3/30/16,2/29/16,(HK$0.09),(HK$0.05),"HK$2,934 "
