Date,Fiscal Quarter End,Estimated EPS,Actual EPS,Revenue
11/18/20,10/31/20,HK$0.48 ,HK$0.60 ,"HK$4,726 "
8/19/20,7/31/20,HK$0.41 ,HK$0.42 ,"HK$3,866 "
5/21/20,4/30/20,HK$0.34 ,HK$0.37 ,"HK$3,080 "
2/13/20,1/31/20,HK$0.34 ,HK$0.39 ,"HK$3,105 "
11/14/19,10/31/19,HK$0.31 ,HK$0.37 ,"HK$3,014 "
8/15/19,7/31/19,HK$0.22 ,HK$0.23 ,"HK$2,579 "
5/16/19,4/30/19,HK$0.15 ,HK$0.17 ,"HK$2,220 "
2/14/19,1/31/19,HK$0.13 ,HK$0.15 ,"HK$2,205 "
11/15/18,10/31/18,HK$0.43 ,HK$0.42 ,"HK$3,181 "
8/16/18,7/31/18,HK$0.41 ,HK$0.44 ,"HK$3,123 "
5/10/18,4/30/18,HK$0.37 ,HK$0.47 ,"HK$3,207 "
2/8/18,1/31/18,HK$0.25 ,HK$0.39 ,"HK$2,911 "
11/9/17,10/31/17,HK$0.24 ,HK$0.33 ,"HK$2,636 "
8/10/17,7/31/17,HK$0.15 ,HK$0.23 ,"HK$2,230 "
5/9/17,4/30/17,HK$0.17 ,HK$0.21 ,"HK$1,937 "
2/9/17,1/31/17,HK$0.21 ,HK$0.25 ,"HK$2,173 "
11/10/16,10/31/16,HK$0.14 ,HK$0.21 ,"HK$2,004 "
8/11/16,7/31/16,HK$0.09 ,HK$0.11 ,"HK$1,428 "
5/12/16,4/30/16,HK$0.08 ,HK$0.10 ,"HK$1,305 "
2/17/16,1/31/16,HK$0.08 ,HK$0.09 ,"HK$1,401 "
